corpus_id,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8
academic_arxiv,0.046401,0.499778,1,0.445302,0.015877,0.120574,0.066752,0.6621
acim,1.715920,4.490179,2,0.455792,0.060581,0.501061,0.281529,0.729
adv_constraint,0.437591,0.813646,2,0.428243,0,,,,
adv_style,0.300487,0.076488,1.5,0.419933,0,,,,
annomi,0.073352,0.183066,1,0.438853,0.049258,0.84003,0.407877,0.5986
bashar,1.092925,0.876525,2,0.468208,0.122664,0.861605,0.433944,0.7382
carla_prose,0.203251,0.948396,1,0.481316,0.057019,0.712488,0.378114,0.8257
cwg,1.019004,1.487109,1,0.452757,0.144900,0.567352,0.311983,0.7818
dailydialog,0.698952,0.166434,1,0.676367,0.128629,0.446148,0.243269,0.7418
ecc_hamming74,0,0,,0,0,,,
edit_e1,1.012453,1.504921,,0.522446,0.022481,,,0.8959
edit_e2,0,2.005965,,0.522780,0.024632,,,0.946
edit_e3,0.178907,1.202725,,0.461614,0.022261,0.549853,0.266849,0.9209
fomc,0.025386,0.268967,1,0.401094,0.010547,0.125146,0.067882,0.6609
gencode_splice,0,0,,0.299696,0,,,
gutenberg_fiction,0.772599,0.732215,2,0.438085,0.012104,,,0.9609
law_of_one,0.152921,0.824344,1,0.413790,0.056813,0.276215,0.145543,0.756
ll_research,0.865793,1.120097,1,0.413857,0.043866,0.443484,0.24482,0.7869
multiturn_claude,0.156855,0.797128,2,0.399943,0.044291,0.246326,0.122599,0.6872
multiturn_gpt4o,0.009655,0.085141,1,0.389562,0.016373,0.046067,0.02464,0.6686
news_reuters,0.102648,0.225054,1,0.528277,0.025734,0.106186,0.058145,0.6643
reasoning_deepseek_r1,0.089568,0.693137,,0.492685,0.011821,0.086928,0.048418,0.7043
reasoning_deepseek_r1_mt,0.086864,0.697459,1,0.428511,0.007780,0.043058,0.022764,0.853
reasoning_o3mini,0.111520,0.116768,,0.475680,0.008317,0.032219,0.018343,0.5309
reasoning_o3mini_mt,0.027888,0.215025,1,0.401595,0.006419,0.038249,0.020738,0.7112
sat_3sat,0,0,,0.268179,0,,,
scotus,0.175823,0.828581,1,0.382247,0.028075,0.254379,0.139332,0.8358
seth,0.617913,1.471345,1,0.434630,0.045925,0.386108,0.20621,0.7339
synth_academic_g0,0,0.424469,,0.458401,0.024326,0.137913,0.07803,0.5741
synth_claude_t02,0.052352,1.948912,,0.481616,0.008879,0.077064,0.042516,0.6173
synth_claude_t15,0.157830,2.141155,,0.484037,0.009028,0.032146,0.018468,0.6565
synth_dialogue_g0,0.214331,0.270252,,0.502231,0.021589,0.046966,0.025425,0.6639
synth_fiction_g0,0.163689,0.603809,,0.506989,0.010111,0.034278,0.019515,0.8823
synth_g0,0.105930,2.063419,,0.485430,0.009558,0.027918,0.015618,0.5014
synth_g1,1.528877,0.936463,,0.463238,0.011233,0.046068,0.025702,0.4502
synth_g2,1.273391,1.218814,,0.433554,0.017021,0.048493,0.026711,0.3992
synth_g3,1.997961,1.156670,,0.447177,0.013725,0.052871,0.029775,0.4007
synth_g4,0.737716,1.032672,,0.459828,0.010163,0.078676,0.04373,0.4249
synth_gemini_g0,0,0.148876,,0.482473,0.009357,0.060287,0.034109,0.6813
synth_gpt4o_g0,0,0.180233,,0.466183,0.009071,0.03424,0.018843,0.6086
synth_gpt4o_t02,0,0.035149,,0.447475,0.011529,0.093581,0.053128,0.4671
synth_gpt4o_t15,0,0.073780,,0.697220,0.024519,0.097742,0.054741,0.9929
synth_llama70b_g0,0.105699,0,,0.437340,0.026636,0.099123,0.053387,0.5963
synth_news_g0,0,2.114267,,0.497099,0.021620,0.088017,0.049341,0.7923
synth_twopass_claude,0.072675,1.935443,,0.598724,0.753577,0.058105,0.031687,0.8691
vatican,0.557381,0.954942,1,0.445619,0.061639,0.914547,0.459622,0.8032
xdom_claude_fomc,0,0.276302,,0.480238,0.009551,0.102508,0.055664,0.475
xdom_claude_scotus,0,1.255217,,0.465353,0.011660,0.058185,0.032622,0.7195
xdom_claude_therapy,0.050034,0,,0.462616,0.008938,0.048748,0.026664,0.4694
xdom_gpt4o_fomc,0,0.134970,,0.444990,0.009430,0.062781,0.035429,0.4986
xdom_gpt4o_scotus,0.044225,0.756410,,0.424686,0.013846,0.088116,0.04879,0.7445
xdom_gpt4o_therapy,0,0,,0.448561,0.011431,0.082527,0.045998,0.4905
